symbol,timestamp,volatility,volume_spike,price_change,range_pct,volume_ratio_prev,rsi,macd_line,macd_signal,macd_hist,macd_cross,sma_20,sma_50,sma_cross_20_50,ema_20_50_cross,adx,adx_plus_di,adx_minus_di,atr_pct,day_of_week,month,ret_1d,ret_5d,ret_20d,prediction_id,price_at_scan,volume_ratio,max_change_5d,gap_pct,short_percent
LXRX,2026-07-27T22:45:03.735612-04:00,0.036900943663310794,0.9414956805353465,0.10377360400291313,0.07692300638503319,0.9061020159653633,55.316337333070045,0.03765941685644858,0.04587988978536203,-0.008220472928913453,0.0,0.023398174237122094,0.0784403660475661,1.0,0.0,14.701045604545602,14.129212799507423,15.791794319506971,0.06518916055671727,1.0,7.0,0.04932730679595587,-0.016806806028663912,-0.11363643136891177,127,2.23,1.0,4.93,0.0,0.0
MRVI,2026-07-27T22:45:03.735612-04:00,0.030224515933784807,0.8109189047486212,0.05376342432059866,0.041399404426230406,1.0991754361988064,63.29495815701056,0.39741862153488317,0.4443634384469011,-0.04694481691201796,0.0,0.04844873934254745,0.22434412687049954,1.0,0.0,50.241521329176756,29.39037965316993,13.973636610354262,0.04963113153677716,1.0,7.0,0.02541107247233354,-0.03380278511857027,0.07355246899047296,129,6.69,0.72,5.38,0.0,0.0
BLMN,2026-07-27T22:45:03.735612-04:00,0.03176835018880072,0.8452679242331554,0.03489770724541108,0.030232583412676817,0.7211973878640545,55.799774111198886,0.07955203131118793,0.09879367348155979,-0.01924164217037186,0.0,0.025702233709245625,0.05794075105509067,1.0,0.0,14.33331406273216,24.550541958863352,18.878938697467493,0.05184011547197892,1.0,7.0,0.007025810290949952,0.01895744182953618,-0.061135313894202126,130,8.54,1.02,3.16,0.0,0.0
AKBA,2026-07-27T22:45:03.735612-04:00,0.032700574283202784,0.46462368992757935,-0.09285714103251086,0.055118058499284556,0.8974483204134367,52.47383242708438,0.03126402791512639,0.05118082726792651,-0.01991679935280012,0.0,-0.03164316313630988,0.12744574920327167,1.0,0.0,25.658673405911628,22.962183003899334,20.43214975882543,0.05837024085900175,1.0,7.0,-0.007812492724042275,-0.02307690191550993,0.14414411221567636,133,1.28,0.5,0.0,0.0,0.0
OTLK,2026-07-27T22:45:03.735612-04:00,0.08727923905414067,2.559308281967134,-0.4774566622556933,0.21570796044440538,0.8628876004958911,33.94689168435207,-0.027588645302419,0.06178244728473359,-0.08937109258715259,0.0,-0.373397116844395,-0.21754636993201248,1.0,0.0,28.811243108031867,27.973592070499237,24.683299318918493,0.23545239569915336,1.0,7.0,-0.15117376930127013,-0.36338027353159963,-0.465088784818634,134,1.07,3.24,31.92,0.0,0.0
FRMI,2026-07-27T22:45:03.735612-04:00,0.07031358131750146,1.2008010694036173,-0.0682491953903287,0.12531841977082206,1.39362949907118,43.549853257156286,-0.2229605091283835,-0.20372732906362118,-0.019233180064762323,-1.0,-0.1057952236730344,-0.11484464601979338,-1.0,0.0,17.19460925309613,23.084373406709204,25.499550571823125,0.11945399562215388,1.0,7.0,-0.13139693039542732,-0.055639079737282104,-0.33544969983478723,135,7.23,0.86,2.35,0.0,0.0
ATAI,2026-07-27T22:45:03.735612-04:00,0.08749625082700765,0.8592556636078342,0.2663138856660565,0.006963748620210551,1.7899834926962968,73.71070979508175,0.7164283836324445,0.6338989876832748,0.08252939594916975,0.0,0.17961142160658272,0.4381860021916,1.0,0.0,42.62528333001575,38.21676452747055,9.925449486765118,0.04367595280412207,1.0,7.0,0.0013946655422976129,0.006306881291276323,0.33955217341214783,137,7.17,0.49,0.14,0.0,0.0
LCID,2026-07-27T22:45:03.735612-04:00,0.10738494924084446,1.5031894714900014,0.7099567729559426,0.28924048352253007,4.974069912609238,63.65614553656153,0.32449646969169876,0.2131711758637897,0.11132529382790907,0.0,0.23906992033182894,0.33461728220678144,1.0,1.0,18.103860066770242,31.77392531390688,22.353485908941405,0.10760043112255474,1.0,7.0,0.21538463005652786,0.0792349603967859,0.21351763711448335,138,6.5,0.31,22.46,0.0,0.0
ACVA,2026-07-27T22:45:03.735612-04:00,0.030695941742258308,0.7017549736536214,0.13278002196089034,0.019536001905951405,1.0508126003210272,68.29191241667827,0.3788640183918073,0.3354326843902251,0.04343133400158217,0.0,0.10518853396866823,0.22615798134699605,1.0,0.0,35.37535535873477,34.3285756505975,10.262283876346,0.04390331043454401,1.0,7.0,0.01865666905994634,0.032786854687631095,0.13749997185336138,142,8.04,0.45,1.87,0.0,0.0
SMR,2026-07-27T22:45:03.735612-04:00,0.0474003126603376,0.97602163655057,-0.04418605785875285,0.07542577438177948,0.9063286789535245,41.45852356017701,-0.5416644121042342,-0.6091917142553622,0.06752730215112801,0.0,-0.0606787515107472,-0.18699184461220486,-1.0,0.0,23.09217900534394,14.51349520760304,26.443510061692336,0.08957369015424523,1.0,7.0,-0.03747069042782347,-0.05625714913572033,-0.19883040120315398,148,8.54,1.03,3.16,0.0,0.0
